=== compare 720p
   N decode  skip | hold old hold new |  ms old  ms new | nvdec old nvdec new | bottleneck old -> new
   8 all        1 |     97.5     97.4 |     2.9     2.0 |        60        55 | none(offered-bound) -> none(offered-bound)
   8 all        2 |     96.8     97.0 |     2.5     1.9 |        58        55 | none(offered-bound) -> none(offered-bound)
   8 all        3 |     97.4     97.4 |     2.6     1.9 |        59        57 | none(offered-bound) -> none(offered-bound)
   8 all        6 |     97.4     97.5 |     2.2     1.9 |        59        56 | none(offered-bound) -> none(offered-bound)
   8 all       15 |     97.4     97.5 |     2.1     2.0 |        59        58 | none(offered-bound) -> none(offered-bound)
  16 all        1 |     80.3     85.6 |    74.1     1.9 |       100       100 | NVDEC -> NVDEC
  16 all        2 |     81.5     86.1 |    60.6     1.9 |       100       100 | NVDEC -> NVDEC
  16 all        3 |     82.4     86.5 |    54.4     1.9 |       100       100 | NVDEC -> NVDEC
  16 all        6 |     82.4     86.6 |    38.1     2.0 |       100       100 | NVDEC -> NVDEC
  16 all       15 |     82.4     86.6 |    29.8     2.0 |       100       100 | NVDEC -> NVDEC
  32 all        1 |     39.8     42.6 |   172.2     2.0 |       100       100 | NVDEC -> NVDEC
  32 all        2 |     40.7     42.9 |   165.2     1.9 |       100       100 | NVDEC -> NVDEC
  32 all        3 |     41.3     43.6 |   140.9     2.0 |       100       100 | NVDEC -> NVDEC
  32 all        6 |     41.4     43.7 |   107.1     2.0 |       100       100 | NVDEC -> NVDEC
  32 all       15 |     41.3     43.4 |    75.3     2.0 |       100       100 | NVDEC -> NVDEC
 100 key150     1 |     71.5     58.0 |     3.0    10.0 |         4         3 | VRAM-OOM -> VRAM-OOM
  32 key30      1 |     95.0     99.4 |     2.1     2.0 |        10        10 | none(offered-bound) -> none(offered-bound)
  50 key30      1 |     95.0     99.4 |     2.1     2.5 |        12        13 | none(offered-bound) -> none(offered-bound)
  75 key30      1 |     95.1     99.5 |     5.3     8.7 |        20        19 | none(offered-bound) -> none(offered-bound)

20 shared cells; now hold but did not: 0; held but no longer: 0
=== compare 4k
   N decode  skip | hold old hold new |  ms old  ms new | nvdec old nvdec new | bottleneck old -> new
   1 all        1 |     99.3    100.0 |     2.1     2.0 |        16        15 | none(offered-bound) -> none(offered-bound)
   4 all        1 |     97.4     97.7 |     2.5     2.0 |        65        61 | none(offered-bound) -> none(offered-bound)
   4 all        2 |     97.4     97.5 |     2.6     2.0 |        65        62 | none(offered-bound) -> none(offered-bound)
   4 all        3 |     97.4     97.8 |     2.2     2.0 |        64        62 | none(offered-bound) -> none(offered-bound)
   4 all        6 |     97.4     97.6 |     2.1     2.0 |        64        62 | none(offered-bound) -> none(offered-bound)
   4 all       15 |     98.0     97.5 |     2.4     2.1 |        62        63 | none(offered-bound) -> none(offered-bound)
   8 all        1 |     75.8     78.0 |    52.0     2.0 |       100       100 | NVDEC -> NVDEC
   8 all        2 |     76.5     78.3 |    44.8     2.0 |       100       100 | NVDEC -> NVDEC
   8 all        3 |     76.8     78.5 |    35.4     2.0 |       100       100 | NVDEC -> NVDEC
   8 all        6 |     76.8     79.0 |    33.2     1.9 |       100       100 | NVDEC -> NVDEC
   8 all       15 |     76.8     78.8 |    28.6     2.0 |       100       100 | NVDEC -> NVDEC
  16 all        1 |     38.2     39.5 |   145.6     2.0 |       100       100 | NVDEC -> NVDEC
  16 all        2 |     38.5     39.7 |   131.3     2.0 |       100       100 | NVDEC -> NVDEC
  16 all        3 |     38.6     39.7 |   112.0     2.0 |       100       100 | NVDEC -> NVDEC
  16 all        6 |     38.7     39.8 |    85.0     2.0 |       100       100 | NVDEC -> NVDEC
  16 all       15 |     38.5     39.8 |    60.7     2.1 |       100       100 | NVDEC -> NVDEC
  32 key150     1 |     79.7    100.0 |     2.1     2.6 |         5         5 | mixed/ramp -> none(offered-bound)
  16 key30      1 |     95.0    100.0 |     2.0     2.0 |        11         6 | none(offered-bound) -> none(offered-bound)
  32 key30      1 |     95.0     99.4 |     2.1     2.5 |        16        20 | none(offered-bound) -> none(offered-bound)

19 shared cells; now hold but did not: 1; held but no longer: 0
