N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
1,all,30,30.0000,1,29.2,30.0,97.3,0.05,0.11,1.86,2.02,2,5,1986,752,none(offered-bound)
8,all,30,30.0000,1,234.4,240.0,97.7,0.04,0.24,1.85,2.13,16,39,2150,5040,none(offered-bound)
8,all,30,15.0000,2,233.9,240.0,97.5,0.04,0.06,1.93,2.03,16,20,2150,3920,none(offered-bound)
8,all,30,10.0000,3,234.1,240.0,97.5,0.04,0.04,1.88,1.96,16,13,2150,2200,none(offered-bound)
8,all,30,5.0000,6,234.5,240.0,97.7,0.04,0.02,1.84,1.90,15,7,2152,836,none(offered-bound)
8,all,30,2.0000,15,233.0,240.0,97.1,0.04,0.02,1.93,1.99,15,4,2150,487,none(offered-bound)
16,all,30,30.0000,1,465.9,480.0,97.1,0.04,0.69,2.08,2.81,31,66,2349,13248,none(offered-bound)
16,all,30,15.0000,2,465.1,480.0,96.9,0.04,0.22,1.88,2.14,31,38,2349,6208,none(offered-bound)
16,all,30,10.0000,3,465.9,480.0,97.1,0.04,0.19,1.84,2.07,32,25,2349,3167,none(offered-bound)
16,all,30,5.0000,6,465.4,480.0,97.0,0.04,0.05,1.94,2.03,31,12,2349,2690,none(offered-bound)
16,all,30,2.0000,15,466.3,480.0,97.1,0.04,0.02,1.88,1.94,32,6,2349,871,none(offered-bound)
32,all,30,30.0000,1,932.9,960.0,97.2,0.05,1.53,2.85,4.43,64,85,2747,19843,none(offered-bound)
32,all,30,15.0000,2,932.0,960.0,97.1,0.04,0.72,2.12,2.88,63,68,2746,14124,none(offered-bound)
32,all,30,10.0000,3,931.5,960.0,97.0,0.04,0.47,2.03,2.54,63,49,2746,9067,none(offered-bound)
32,all,30,5.0000,6,931.8,960.0,97.1,0.04,0.13,1.90,2.07,63,27,2746,4261,none(offered-bound)
32,all,30,2.0000,15,932.2,960.0,97.1,0.04,0.04,1.85,1.93,63,11,2747,1206,none(offered-bound)
50,all,30,30.0000,1,1438.8,1500.0,95.9,0.06,4.11,7.66,11.83,100,94,3189,49413,none(offered-bound)
50,all,30,15.0000,2,1457.0,1500.0,97.1,0.04,1.04,2.30,3.38,100,84,3189,20661,none(offered-bound)
50,all,30,10.0000,3,1457.4,1500.0,97.2,0.04,0.67,2.00,2.71,100,69,3189,10912,none(offered-bound)
50,all,30,5.0000,6,1457.5,1500.0,97.2,0.04,0.25,1.96,2.25,100,41,3189,6880,none(offered-bound)
50,all,30,2.0000,15,1456.5,1500.0,97.1,0.04,0.12,1.96,2.12,100,18,3189,2948,none(offered-bound)
75,all,30,30.0000,1,1435.9,2250.0,63.8,0.15,4.48,7.09,11.72,100,93,3813,58482,NVDEC
75,all,30,15.0000,2,1447.8,2250.0,64.3,0.17,2.53,2.78,5.48,100,71,3813,30256,NVDEC
75,all,30,10.0000,3,1476.8,2250.0,65.6,0.05,1.27,2.16,3.48,100,65,3813,20527,NVDEC
75,all,30,5.0000,6,1495.3,2250.0,66.5,0.05,0.76,2.03,2.84,100,40,3813,10272,NVDEC
75,all,30,2.0000,15,1501.9,2250.0,66.8,0.05,0.30,2.01,2.36,100,16,3813,4212,NVDEC
32,key30,30,1.0000,1,31.8,32.0,99.4,0.05,0.08,1.90,2.03,4,6,2746,872,none(offered-bound)
50,key30,30,1.0000,1,49.8,50.0,99.6,0.05,0.08,1.91,2.04,6,9,3189,1163,none(offered-bound)
75,key30,30,1.0000,1,74.7,75.0,99.6,0.07,0.48,2.12,2.67,8,14,3811,2373,none(offered-bound)
100,key30,30,1.0000,1,99.6,100.0,99.6,0.08,3.48,2.23,5.79,10,14,4432,2687,none(offered-bound)
100,key150,150,0.2000,1,19.9,20.0,99.5,0.07,0.13,2.14,2.34,2,4,4432,431,none(offered-bound)
