N,decode,gop,inf_per_s_per_stream,skip,achieved_fps,offered_per_s,hold_pct,post_decode_ms,nvdec_pct,sm_pct,note
1,all,30,30.0000,1,30.19,30.0,100.6,2.16,2,5,
8,all,30,30.0000,1,240.06,240.0,100.0,8.01,15,25,
8,all,30,15.0000,2,240.15,240.0,100.1,4.94,16,13,latency mixes inferred and skipped frames
8,all,30,10.0000,3,240.53,240.0,100.2,4.94,15,9,latency mixes inferred and skipped frames
8,all,30,5.0000,6,240.29,240.0,100.1,4.93,16,5,latency mixes inferred and skipped frames
8,all,30,2.0000,15,240.27,240.0,100.1,4.94,15,3,latency mixes inferred and skipped frames
16,all,30,30.0000,1,481.91,480.0,100.4,7.15,32,40,
16,all,30,15.0000,2,480.83,480.0,100.2,5.60,32,20,latency mixes inferred and skipped frames
16,all,30,10.0000,3,482.20,480.0,100.5,2.90,31,14,latency mixes inferred and skipped frames
16,all,30,5.0000,6,480.45,480.0,100.1,2.79,32,8,latency mixes inferred and skipped frames
16,all,30,2.0000,15,480.46,480.0,100.1,3.22,31,3,latency mixes inferred and skipped frames
32,all,30,30.0000,1,969.37,960.0,101.0,7.94,66,67,
32,all,30,15.0000,2,966.95,960.0,100.7,6.05,63,35,latency mixes inferred and skipped frames
32,all,30,10.0000,3,968.51,960.0,100.9,1.83,64,24,latency mixes inferred and skipped frames
32,all,30,5.0000,6,969.19,960.0,101.0,1.69,63,13,latency mixes inferred and skipped frames
32,all,30,2.0000,15,967.19,960.0,100.7,1.63,61,6,latency mixes inferred and skipped frames
50,all,30,30.0000,1,1515.80,1500.0,101.1,11.31,100,93,
50,all,30,15.0000,2,1506.11,1500.0,100.4,12.83,100,53,latency mixes inferred and skipped frames
50,all,30,10.0000,3,1518.29,1500.0,101.2,4.32,100,35,latency mixes inferred and skipped frames
50,all,30,5.0000,6,1516.35,1500.0,101.1,2.21,99,19,latency mixes inferred and skipped frames
50,all,30,2.0000,15,1517.01,1500.0,101.1,2.03,98,9,latency mixes inferred and skipped frames
75,all,30,30.0000,1,1570.67,2250.0,69.8,15.38,100,95,
75,all,30,15.0000,2,1529.91,2250.0,68.0,13.46,100,52,latency mixes inferred and skipped frames
75,all,30,10.0000,3,1547.53,2250.0,68.8,8.55,100,36,latency mixes inferred and skipped frames
75,all,30,5.0000,6,1568.56,2250.0,69.7,7.43,100,20,latency mixes inferred and skipped frames
75,all,30,2.0000,15,1572.18,2250.0,69.9,7.40,100,9,latency mixes inferred and skipped frames
32,key30,30,1.0000,1,31.55,32.0,98.6,NA,3,6,
50,key30,30,1.0000,1,49.10,50.0,98.2,NA,5,8,
75,key30,30,1.0000,1,73.66,75.0,98.2,NA,8,12,
100,key30,30,1.0000,1,98.28,100.0,98.3,NA,11,13,
