N,decode,gop,inf_per_s_per_stream,skip,achieved_fps,offered_per_s,hold_pct,post_decode_ms,nvdec_pct,sm_pct,note
1,all,30,30.0000,1,30.17,30.0,100.6,2.04,4,5,
8,all,30,30.0000,1,240.17,240.0,100.1,5.78,34,26,
8,all,30,15.0000,2,240.66,240.0,100.3,4.79,32,14,latency mixes inferred and skipped frames
8,all,30,10.0000,3,240.63,240.0,100.3,2.46,34,10,latency mixes inferred and skipped frames
8,all,30,5.0000,6,240.46,240.0,100.2,2.45,33,6,latency mixes inferred and skipped frames
8,all,30,2.0000,15,240.19,240.0,100.1,2.44,32,3,latency mixes inferred and skipped frames
16,all,30,30.0000,1,482.02,480.0,100.4,5.33,68,44,
16,all,30,15.0000,2,481.71,480.0,100.4,2.02,67,23,latency mixes inferred and skipped frames
16,all,30,10.0000,3,482.05,480.0,100.4,0.86,66,16,latency mixes inferred and skipped frames
16,all,30,5.0000,6,481.71,480.0,100.4,0.74,66,9,latency mixes inferred and skipped frames
16,all,30,2.0000,15,481.32,480.0,100.3,0.69,65,6,latency mixes inferred and skipped frames
32,all,30,30.0000,1,719.45,960.0,74.9,10.05,100,60,
32,all,30,15.0000,2,728.72,960.0,75.9,9.71,100,33,latency mixes inferred and skipped frames
32,all,30,10.0000,3,732.93,960.0,76.3,6.47,100,24,latency mixes inferred and skipped frames
32,all,30,5.0000,6,735.69,960.0,76.6,6.61,100,14,latency mixes inferred and skipped frames
32,all,30,2.0000,15,741.04,960.0,77.2,6.47,100,8,latency mixes inferred and skipped frames
50,all,30,30.0000,1,729.62,1500.0,48.6,10.45,100,60,
50,all,30,15.0000,2,739.64,1500.0,49.3,9.88,100,32,latency mixes inferred and skipped frames
50,all,30,10.0000,3,743.97,1500.0,49.6,6.73,100,23,latency mixes inferred and skipped frames
50,all,30,5.0000,6,747.60,1500.0,49.8,6.54,100,14,latency mixes inferred and skipped frames
50,all,30,2.0000,15,751.12,1500.0,50.1,6.49,100,8,latency mixes inferred and skipped frames
32,key30,30,1.0000,1,31.46,32.0,98.3,NA,5,5,
50,key30,30,1.0000,1,49.21,50.0,98.4,NA,7,6,
75,key30,30,1.0000,1,73.70,75.0,98.3,NA,11,9,
100,key30,30,1.0000,1,98.00,100.0,98.0,NA,17,12,
