N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
1,all,30,30.0000,1,29.8,30.0,99.3,0.07,0.04,1.91,2.02,8,4,0,823,none(offered-bound)
1,all,30,15.0000,2,29.6,30.0,98.7,0.06,0.02,1.96,2.04,8,2,1621,537,none(offered-bound)
1,all,30,10.0000,3,29.7,30.0,99.0,0.06,0.02,1.88,1.96,8,2,0,223,none(offered-bound)
1,all,30,7.5000,4,29.6,30.0,98.7,0.07,0.02,1.88,1.97,7,1,1620,164,none(offered-bound)
1,all,30,5.0000,6,29.4,30.0,98.0,0.06,0.01,1.94,2.01,7,0,0,156,none(offered-bound)
1,all,30,3.7500,8,29.7,30.0,99.0,0.07,0.02,2.00,2.09,7,0,0,117,none(offered-bound)
1,all,30,2.5000,12,29.6,30.0,98.7,0.07,0.02,1.98,2.07,7,0,1620,55,none(offered-bound)
1,all,30,2.0000,15,29.4,30.0,98.0,0.08,0.02,1.98,2.08,7,0,0,48,none(offered-bound)
1,all,30,1.2500,24,29.6,30.0,98.7,0.08,0.02,2.18,2.28,7,1,1620,48,none(offered-bound)
1,all,30,1.0000,30,29.6,30.0,98.7,0.10,0.02,2.09,2.21,8,0,0,25,none(offered-bound)
1,all,30,0.6667,45,29.6,30.0,98.7,0.08,0.02,2.03,2.13,8,1,1607,14,none(offered-bound)
1,all,30,0.5000,60,29.4,30.0,98.0,0.07,0.02,2.20,2.29,7,1,0,14,none(offered-bound)
1,all,30,0.3333,90,29.8,30.0,99.3,0.08,0.02,2.22,2.32,7,0,0,11,none(offered-bound)
1,all,30,0.2000,150,29.6,30.0,98.7,0.09,0.02,2.09,2.20,7,0,1607,3,none(offered-bound)
4,all,30,30.0000,1,116.8,120.0,97.3,0.15,0.21,2.10,2.46,30,16,0,2557,none(offered-bound)
4,all,30,15.0000,2,117.6,120.0,98.0,0.21,0.10,1.99,2.30,29,11,0,2259,none(offered-bound)
4,all,30,10.0000,3,116.9,120.0,97.4,0.16,0.02,1.89,2.07,30,6,0,980,none(offered-bound)
4,all,30,7.5000,4,117.6,120.0,98.0,0.25,0.03,1.88,2.16,30,6,0,667,none(offered-bound)
4,all,30,5.0000,6,117.6,120.0,98.0,0.16,0.03,1.87,2.06,30,3,0,506,none(offered-bound)
4,all,30,3.7500,8,116.9,120.0,97.4,0.25,0.03,2.00,2.28,30,2,0,539,none(offered-bound)
4,all,30,2.5000,12,116.9,120.0,97.4,0.17,0.02,1.90,2.09,30,2,0,231,none(offered-bound)
4,all,30,2.0000,15,118.3,120.0,98.6,0.15,0.02,1.88,2.05,30,2,0,175,none(offered-bound)
4,all,30,1.2500,24,116.9,120.0,97.4,0.17,0.02,2.01,2.20,28,0,0,181,none(offered-bound)
4,all,30,1.0000,30,116.9,120.0,97.4,0.07,0.02,2.01,2.10,30,2,0,102,none(offered-bound)
4,all,30,0.6667,45,116.9,120.0,97.4,0.12,0.02,1.98,2.12,28,0,0,64,none(offered-bound)
4,all,30,0.5000,60,116.9,120.0,97.4,0.14,0.02,1.98,2.14,28,0,0,54,none(offered-bound)
4,all,30,0.3333,90,117.6,120.0,98.0,0.07,0.02,2.08,2.17,28,0,0,54,none(offered-bound)
4,all,30,0.2000,150,116.9,120.0,97.4,0.23,0.02,2.06,2.31,30,0,0,20,none(offered-bound)
8,all,30,30.0000,1,234.0,240.0,97.5,0.32,0.54,2.02,2.88,60,36,0,4898,none(offered-bound)
8,all,30,15.0000,2,232.3,240.0,96.8,0.24,0.25,1.99,2.48,58,19,0,4482,none(offered-bound)
8,all,30,10.0000,3,233.8,240.0,97.4,0.40,0.30,1.90,2.60,59,13,0,2019,none(offered-bound)
8,all,30,7.5000,4,233.7,240.0,97.4,0.33,0.15,1.89,2.37,60,10,0,1360,none(offered-bound)
8,all,30,5.0000,6,233.7,240.0,97.4,0.28,0.06,1.87,2.21,59,6,0,1041,none(offered-bound)
8,all,30,3.7500,8,233.7,240.0,97.4,0.26,0.05,2.00,2.31,58,6,0,1061,none(offered-bound)
8,all,30,2.5000,12,233.7,240.0,97.4,0.34,0.03,1.90,2.27,58,4,0,496,none(offered-bound)
8,all,30,2.0000,15,233.8,240.0,97.4,0.18,0.02,1.87,2.07,59,4,0,332,none(offered-bound)
8,all,30,1.2500,24,233.8,240.0,97.4,0.22,0.03,1.97,2.22,58,3,0,383,none(offered-bound)
8,all,30,1.0000,30,233.8,240.0,97.4,0.14,0.02,1.95,2.11,59,3,0,210,none(offered-bound)
8,all,30,0.6667,45,232.5,240.0,96.9,0.13,0.02,1.91,2.06,58,2,0,115,none(offered-bound)
8,all,30,0.5000,60,233.8,240.0,97.4,0.07,0.02,1.90,1.99,58,2,0,99,none(offered-bound)
8,all,30,0.3333,90,233.8,240.0,97.4,0.14,0.02,2.00,2.16,60,1,0,85,none(offered-bound)
8,all,30,0.2000,150,232.4,240.0,96.8,0.07,0.02,1.95,2.04,59,1,0,35,none(offered-bound)
16,all,30,30.0000,1,385.4,480.0,80.3,16.93,45.86,11.32,74.11,100,25,0,9375,NVDEC
16,all,30,15.0000,2,391.3,480.0,81.5,18.00,36.61,5.95,60.56,100,15,0,8525,NVDEC
16,all,30,10.0000,3,395.3,480.0,82.4,18.27,31.78,4.35,54.40,100,12,0,4074,NVDEC
16,all,30,7.5000,4,395.4,480.0,82.4,18.47,24.80,3.47,46.74,100,10,0,2544,NVDEC
16,all,30,5.0000,6,395.3,480.0,82.4,18.63,16.48,3.00,38.11,100,8,0,2794,NVDEC
16,all,30,3.7500,8,397.4,480.0,82.8,18.22,12.60,2.76,33.58,100,6,0,1514,NVDEC
