N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
16,all,30,0.5000,60,467.9,480.0,97.5,0.05,0.02,1.89,1.96,35,2,0,196,none(offered-bound)
16,all,30,0.3333,90,465.2,480.0,96.9,0.05,0.02,2.05,2.12,36,1,0,192,none(offered-bound)
16,all,30,0.2000,150,464.8,480.0,96.8,0.05,0.02,1.90,1.97,36,1,0,60,none(offered-bound)
32,all,30,30.0000,1,929.5,960.0,96.8,12.61,37.47,10.68,60.76,75,53,0,17320,none(offered-bound)
32,all,30,15.0000,2,935.5,960.0,97.4,1.32,3.90,2.29,7.51,74,66,0,17423,none(offered-bound)
32,all,30,10.0000,3,935.4,960.0,97.4,1.42,3.64,2.11,7.17,73,49,0,9063,none(offered-bound)
32,all,30,7.5000,4,929.6,960.0,96.8,0.93,2.19,2.02,5.14,73,38,0,5652,none(offered-bound)
32,all,30,5.0000,6,935.1,960.0,97.4,1.01,1.45,1.94,4.40,73,25,0,3967,none(offered-bound)
32,all,30,3.7500,8,930.0,960.0,96.9,0.98,1.08,2.03,4.09,72,21,0,4225,none(offered-bound)
32,all,30,2.5000,12,929.5,960.0,96.8,1.03,0.80,1.97,3.80,73,14,0,2062,none(offered-bound)
32,all,30,2.0000,15,935.2,960.0,97.4,0.99,0.86,1.88,3.73,73,11,0,1180,none(offered-bound)
32,all,30,1.2500,24,935.3,960.0,97.4,0.83,0.40,2.03,3.26,73,8,0,1475,none(offered-bound)
32,all,30,1.0000,30,929.5,960.0,96.8,0.96,0.50,1.97,3.43,73,8,0,895,none(offered-bound)
32,all,30,0.6667,45,930.4,960.0,96.9,0.75,0.23,1.94,2.92,72,6,0,493,none(offered-bound)
32,all,30,0.5000,60,935.3,960.0,97.4,0.64,0.32,1.92,2.88,72,3,0,394,none(offered-bound)
32,all,30,0.3333,90,935.0,960.0,97.4,0.57,0.12,2.06,2.75,72,3,0,372,none(offered-bound)
32,all,30,0.2000,150,929.4,960.0,96.8,0.10,0.01,1.95,2.06,73,1,0,154,none(offered-bound)
50,all,30,30.0000,1,940.3,1500.0,62.7,24.29,66.82,25.24,116.35,73,51,0,28338,batch-queue
50,all,30,15.0000,2,1061.2,1500.0,70.7,24.33,73.36,21.48,119.17,85,32,0,26579,NVDEC
50,all,30,10.0000,3,1175.5,1500.0,78.4,22.44,65.20,14.26,101.90,96,27,0,10963,NVDEC
50,all,30,7.5000,4,1216.8,1500.0,81.1,22.30,57.64,10.61,90.55,98,21,0,9816,NVDEC
