N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
32,all,30,10.0000,3,0,960.0,0.0,0,0,0,0.00,100,3,0,0,NVDEC
32,all,30,7.5000,4,0,960.0,0.0,0,0,0,0.00,100,3,0,0,NVDEC
32,all,30,5.0000,6,0,960.0,0.0,0,0,0,0.00,100,2,0,0,NVDEC
32,all,30,3.7500,8,0,960.0,0.0,0,0,0,0.00,100,4,0,0,NVDEC
32,all,30,2.5000,12,0,960.0,0.0,0,0,0,0.00,100,3,0,0,NVDEC
32,all,30,2.0000,15,0,960.0,0.0,0,0,0,0.00,100,2,0,0,NVDEC
32,all,30,1.2500,24,0,960.0,0.0,0,0,0,0.00,100,2,0,0,NVDEC
32,all,30,1.0000,30,0,960.0,0.0,0,0,0,0.00,100,2,0,0,NVDEC
32,all,30,0.6667,45,0,960.0,0.0,0,0,0,0.00,100,2,0,0,NVDEC
32,all,30,0.5000,60,0,960.0,0.0,0,0,0,0.00,100,1,0,0,NVDEC
32,all,30,0.3333,90,0,960.0,0.0,0,0,0,0.00,100,1,0,0,NVDEC
32,all,30,0.2000,150,0,960.0,0.0,0,0,0,0.00,100,1,0,0,NVDEC
50,all,30,30.0000,1,0,1500.0,0.0,0,0,0,0.00,100,5,0,0,VRAM-OOM
50,all,30,15.0000,2,0,1500.0,0.0,0,0,0,0.00,100,4,0,0,VRAM-OOM
50,all,30,10.0000,3,0,1500.0,0.0,0,0,0,0.00,100,2,0,0,VRAM-OOM
50,all,30,7.5000,4,0,1500.0,0.0,0,0,0,0.00,100,3,0,0,VRAM-OOM
50,all,30,5.0000,6,0,1500.0,0.0,0,0,0,0.00,100,3,0,0,VRAM-OOM
50,all,30,3.7500,8,0,1500.0,0.0,0,0,0,0.00,100,2,0,0,VRAM-OOM
50,all,30,2.5000,12,0,1500.0,0.0,0,0,0,0.00,100,2,0,0,VRAM-OOM
50,all,30,2.0000,15,0,1500.0,0.0,0,0,0,0.00,100,2,0,0,VRAM-OOM
50,all,30,1.2500,24,0,1500.0,0.0,0,0,0,0.00,100,2,0,0,VRAM-OOM
50,all,30,1.0000,30,0,1500.0,0.0,0,0,0,0.00,100,2,0,0,VRAM-OOM
50,all,30,0.6667,45,0,1500.0,0.0,0,0,0,0.00,100,1,0,0,VRAM-OOM
50,all,30,0.5000,60,0,1500.0,0.0,0,0,0,0.00,100,1,0,0,VRAM-OOM
50,all,30,0.3333,90,0,1500.0,0.0,0,0,0,0.00,100,1,0,0,VRAM-OOM
50,all,30,0.2000,150,0,1500.0,0.0,0,0,0,0.00,100,1,0,0,VRAM-OOM
75,all,30,30.0000,1,0,2250.0,0.0,0,0,0,0.00,100,5,0,0,VRAM-OOM
75,all,30,15.0000,2,0,2250.0,0.0,0,0,0,0.00,96,5,0,0,VRAM-OOM
75,all,30,10.0000,3,0,2250.0,0.0,0,0,0,0.00,96,5,0,0,VRAM-OOM
75,all,30,7.5000,4,0,2250.0,0.0,0,0,0,0.00,96,3,0,0,VRAM-OOM
75,all,30,5.0000,6,0,2250.0,0.0,0,0,0,0.00,100,3,0,0,VRAM-OOM
75,all,30,3.7500,8,0,2250.0,0.0,0,0,0,0.00,96,3,0,0,VRAM-OOM
75,all,30,2.5000,12,0,2250.0,0.0,0,0,0,0.00,94,3,0,0,VRAM-OOM
75,all,30,2.0000,15,0,2250.0,0.0,0,0,0,0.00,96,3,0,0,VRAM-OOM
75,all,30,1.2500,24,0,2250.0,0.0,0,0,0,0.00,96,3,0,0,VRAM-OOM
75,all,30,1.0000,30,0,2250.0,0.0,0,0,0,0.00,96,2,0,0,VRAM-OOM
75,all,30,0.6667,45,0,2250.0,0.0,0,0,0,0.00,96,2,0,0,VRAM-OOM
75,all,30,0.5000,60,0,2250.0,0.0,0,0,0,0.00,100,2,0,0,VRAM-OOM
75,all,30,0.3333,90,0,2250.0,0.0,0,0,0,0.00,96,1,0,0,VRAM-OOM
75,all,30,0.2000,150,0,2250.0,0.0,0,0,0,0.00,100,1,0,0,VRAM-OOM
100,all,30,30.0000,1,0,3000.0,0.0,0,0,0,0.00,75,4,7833,0,VRAM-OOM
100,all,30,15.0000,2,0,3000.0,0.0,0,0,0,0.00,69,4,0,0,VRAM-OOM
100,all,30,10.0000,3,0,3000.0,0.0,0,0,0,0.00,71,3,0,0,VRAM-OOM
100,all,30,7.5000,4,0,3000.0,0.0,0,0,0,0.00,71,5,0,0,VRAM-OOM
100,all,30,5.0000,6,0,3000.0,0.0,0,0,0,0.00,83,4,0,0,VRAM-OOM
100,all,30,3.7500,8,0,3000.0,0.0,0,0,0,0.00,80,4,0,0,VRAM-OOM
100,all,30,2.5000,12,0,3000.0,0.0,0,0,0,0.00,84,5,7833,0,VRAM-OOM
100,all,30,2.0000,15,0,3000.0,0.0,0,0,0,0.00,92,3,0,0,VRAM-OOM
100,all,30,1.2500,24,0,3000.0,0.0,0,0,0,0.00,77,3,7833,0,VRAM-OOM
100,all,30,1.0000,30,0,3000.0,0.0,0,0,0,0.00,91,2,7842,0,VRAM-OOM
100,all,30,0.6667,45,0,3000.0,0.0,0,0,0,0.00,93,2,0,0,VRAM-OOM
100,all,30,0.5000,60,0,3000.0,0.0,0,0,0,0.00,95,2,7836,0,VRAM-OOM
100,all,30,0.3333,90,0,3000.0,0.0,0,0,0,0.00,96,1,7843,0,VRAM-OOM
100,all,30,0.2000,150,0,3000.0,0.0,0,0,0,0.00,100,1,0,0,VRAM-OOM
1,key15,15,2.0000,1,2.0,2.0,100.0,0.11,0.02,1.94,2.07,0,0,0,45,none(offered-bound)
1,key15,15,1.0000,2,1.9,2.0,95.0,0.12,0.02,2.18,2.32,0,0,0,39,none(offered-bound)
1,key15,15,0.6667,3,2.0,2.0,100.0,0.12,0.02,2.03,2.17,0,0,0,13,none(offered-bound)
1,key15,15,0.5000,4,2.0,2.0,100.0,0.12,0.02,2.03,2.17,0,0,0,9,none(offered-bound)
1,key15,15,0.3333,6,1.9,2.0,95.0,0.12,0.02,2.26,2.40,0,0,0,13,none(offered-bound)
1,key15,15,0.2500,8,2.0,2.0,100.0,0.13,0.10,2.28,2.51,0,0,0,8,none(offered-bound)
1,key15,15,0.1667,12,2.0,2.0,100.0,0.14,0.02,2.04,2.20,5,1,0,1,none(offered-bound)
1,key15,15,0.1333,15,2.0,2.0,100.0,0.14,0.02,2.34,2.50,0,1,0,4,none(offered-bound)
1,key15,15,0.0833,24,1.9,2.0,95.0,0.17,0.02,2.52,2.71,0,1,0,1,none(offered-bound)
1,key15,15,0.0667,30,2.0,2.0,100.0,0.19,0.02,2.30,2.51,0,1,0,0,none(offered-bound)
4,key15,15,2.0000,1,7.8,8.0,97.5,0.10,0.01,1.89,2.00,5,3,0,182,none(offered-bound)
4,key15,15,1.0000,2,7.8,8.0,97.5,0.10,0.02,1.93,2.05,5,1,0,120,none(offered-bound)
4,key15,15,0.6667,3,7.8,8.0,97.5,0.10,0.02,1.99,2.11,5,1,0,78,none(offered-bound)
