N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
1,all,30,30.0000,1,29.8,30.0,99.3,0.06,0.05,1.91,2.02,5,5,0,825,none(offered-bound)
1,all,30,15.0000,2,29.6,30.0,98.7,0.05,0.02,1.96,2.03,5,4,1580,537,none(offered-bound)
1,all,30,10.0000,3,29.6,30.0,98.7,0.06,0.02,1.89,1.97,4,2,0,225,none(offered-bound)
1,all,30,7.5000,4,29.8,30.0,99.3,0.06,0.02,1.88,1.96,4,2,0,163,none(offered-bound)
1,all,30,5.0000,6,29.4,30.0,98.0,0.05,0.02,1.92,1.99,4,1,0,154,none(offered-bound)
1,all,30,3.7500,8,29.6,30.0,98.7,0.06,0.02,1.98,2.06,4,1,1584,116,none(offered-bound)
1,all,30,2.5000,12,29.6,30.0,98.7,0.06,0.02,1.96,2.04,4,0,0,58,none(offered-bound)
1,all,30,2.0000,15,29.4,30.0,98.0,0.06,0.02,1.96,2.04,4,0,0,50,none(offered-bound)
1,all,30,1.2500,24,29.6,30.0,98.7,0.07,0.02,2.14,2.23,4,0,1577,46,none(offered-bound)
1,all,30,1.0000,30,29.8,30.0,99.3,0.06,0.02,2.05,2.13,4,0,0,26,none(offered-bound)
1,all,30,0.6667,45,29.6,30.0,98.7,0.09,0.02,2.06,2.17,4,0,1577,15,none(offered-bound)
1,all,30,0.5000,60,29.4,30.0,98.0,0.06,0.02,2.08,2.16,4,0,0,12,none(offered-bound)
1,all,30,0.3333,90,29.6,30.0,98.7,0.07,0.02,2.30,2.39,4,0,1577,11,none(offered-bound)
1,all,30,0.2000,150,29.6,30.0,98.7,0.08,0.02,2.07,2.17,5,0,1577,3,none(offered-bound)
4,all,30,30.0000,1,116.2,120.0,96.8,0.08,0.25,2.03,2.36,17,17,0,2601,none(offered-bound)
4,all,30,15.0000,2,116.9,120.0,97.4,0.09,0.05,1.98,2.12,17,10,0,2234,none(offered-bound)
4,all,30,10.0000,3,117.6,120.0,98.0,0.11,0.02,1.89,2.02,17,7,0,985,none(offered-bound)
4,all,30,7.5000,4,116.9,120.0,97.4,0.13,0.02,1.87,2.02,18,5,0,663,none(offered-bound)
4,all,30,5.0000,6,117.0,120.0,97.5,0.07,0.02,1.87,1.96,18,4,0,521,none(offered-bound)
4,all,30,3.7500,8,117.6,120.0,98.0,0.11,0.03,1.98,2.12,18,3,0,531,none(offered-bound)
4,all,30,2.5000,12,116.9,120.0,97.4,0.07,0.02,1.90,1.99,17,1,0,232,none(offered-bound)
4,all,30,2.0000,15,116.9,120.0,97.4,0.10,0.02,1.87,1.99,18,2,0,170,none(offered-bound)
4,all,30,1.2500,24,118.3,120.0,98.6,0.08,0.02,2.01,2.11,18,0,1718,191,none(offered-bound)
4,all,30,1.0000,30,116.9,120.0,97.4,0.08,0.02,1.96,2.06,18,2,0,104,none(offered-bound)
4,all,30,0.6667,45,116.9,120.0,97.4,0.06,0.03,1.92,2.01,18,0,0,50,none(offered-bound)
