N,decode,gop,inf_per_s_per_stream,skip,decoded_per_s,offered_per_s,hold_pct,pre_ms,queue_ms,gpu_ms,total_ms,nvdec_pct,sm_pct,vram_mb,plates,bottleneck
1,all,30,30.0000,1,29.5,30.0,98.3,0.09,0.02,1.85,1.96,7,5,2023,643,none(offered-bound)
8,all,30,30.0000,1,233.7,240.0,97.4,0.08,0.01,1.88,1.97,55,38,2471,7086,none(offered-bound)
8,all,30,15.0000,2,232.8,240.0,97.0,0.08,0.01,1.86,1.95,55,19,2461,3397,none(offered-bound)
8,all,30,10.0000,3,233.7,240.0,97.4,0.08,0.01,1.86,1.95,57,14,2461,2184,none(offered-bound)
8,all,30,5.0000,6,234.0,240.0,97.5,0.08,0.01,1.81,1.90,56,6,2461,735,none(offered-bound)
8,all,30,2.0000,15,234.0,240.0,97.5,0.08,0.02,1.94,2.04,58,3,2461,540,none(offered-bound)
16,all,30,30.0000,1,410.8,480.0,85.6,0.08,0.01,1.83,1.92,100,70,2966,13089,NVDEC
16,all,30,15.0000,2,413.3,480.0,86.1,0.08,0.01,1.82,1.91,100,35,2966,6013,NVDEC
16,all,30,10.0000,3,415.2,480.0,86.5,0.08,0.01,1.77,1.86,100,23,2967,2775,NVDEC
16,all,30,5.0000,6,415.5,480.0,86.6,0.08,0.01,1.88,1.97,100,13,2966,2287,NVDEC
16,all,30,2.0000,15,415.7,480.0,86.6,0.08,0.01,1.92,2.01,100,5,2966,1030,NVDEC
32,all,30,30.0000,1,408.9,960.0,42.6,0.08,0.07,1.82,1.97,100,65,3976,23159,NVDEC
32,all,30,15.0000,2,412.1,960.0,42.9,0.08,0.03,1.84,1.95,100,35,3983,11573,NVDEC
32,all,30,10.0000,3,418.9,960.0,43.6,0.08,0.04,1.87,1.99,100,24,3980,9102,NVDEC
32,all,30,5.0000,6,419.8,960.0,43.7,0.08,0.03,1.86,1.97,100,12,3978,3891,NVDEC
32,all,30,2.0000,15,417.1,960.0,43.4,0.08,0.04,1.91,2.03,100,6,3974,1910,NVDEC
32,key30,30,1.0000,1,31.8,32.0,99.4,0.08,0.01,1.89,1.98,10,6,3974,783,none(offered-bound)
50,key30,30,1.0000,1,49.7,50.0,99.4,0.10,0.30,2.12,2.52,13,9,5104,1470,none(offered-bound)
75,key30,30,1.0000,1,74.6,75.0,99.5,0.13,6.24,2.31,8.68,19,12,6682,2248,none(offered-bound)
100,key150,150,0.2000,1,11.6,20.0,58.0,0.21,3.59,6.18,9.98,3,3,7823,403,VRAM-OOM
